ID,Project,Department name,Department code,Owner,Close date,Usage Date,Wallclock,Units,Rate,Cost,Account
1182,,eddy,093203,rivase,10-31-2006,10-25-2006,756104,210,0.11,23.10,51612
1183,,eddy,093203,rivase,10-31-2006,10-26-2006,1738812,483,0.11,53.13,51612
1184,,eddy,093203,rivase,10-31-2006,10-27-2006,2865535,796,0.11,87.56,51612
1185,,eddy,093203,rivase,10-31-2006,10-29-2006,1125330,313,0.11,34.38,51612
1186,,eddy,093203,rivase,10-31-2006,10-31-2006,103724,29,0.11,3.17,51612
1187,,looger,093209,loogerl,10-31-2006,10-25-2006,0,0,0.11,0.00,51612
1188,,looger,093209,mckinneys,10-31-2006,10-25-2006,0,0,0.11,0.00,51612
1189,,harris,093298,hessh,10-31-2006,10-30-2006,0,0,0.11,0.00,51612
1190,,kerr,093304,kerrr,10-31-2006,10-15-2006,9075,3,0.11,0.28,51612
1206,,myers,093201,swidanf,11-30-2006,11-12-2006,4332,1,0.11,0.13,51612
1207,,eddy,093203,coventrya,11-30-2006,11-02-2006,5985114,1663,0.11,182.88,51612
1208,,eddy,093203,coventrya,11-30-2006,11-03-2006,196270,55,0.11,6.00,51612
1209,,eddy,093203,coventrya,11-30-2006,11-08-2006,3908643,1086,0.11,119.43,51612
1210,,eddy,093203,coventrya,11-30-2006,11-09-2006,2010766,559,0.11,61.44,51612
1211,,eddy,093203,coventrya,11-30-2006,11-14-2006,359026,100,0.11,10.97,51612
1212,,eddy,093203,coventrya,11-30-2006,11-15-2006,1391808,387,0.11,42.53,51612
1213,,eddy,093203,coventrya,11-30-2006,11-16-2006,1583627,440,0.11,48.39,51612
1214,,eddy,093203,coventrya,11-30-2006,11-17-2006,1800958,500,0.11,55.03,51612
1215,,eddy,093203,coventrya,11-30-2006,11-20-2006,36564,10,0.11,1.12,51612
1216,,eddy,093203,coventrya,11-30-2006,11-22-2006,277410,77,0.11,8.48,51612
1217,,eddy,093203,coventrya,11-30-2006,11-23-2006,1631091,453,0.11,49.84,51612
1218,,eddy,093203,coventrya,11-30-2006,11-24-2006,342973,95,0.11,10.48,51612
1219,,eddy,093203,coventrya,11-30-2006,11-25-2006,829075,230,0.11,25.33,51612
1220,,eddy,093203,coventrya,11-30-2006,11-26-2006,1848235,513,0.11,56.47,51612
1221,,eddy,093203,coventrya,11-30-2006,11-27-2006,1171625,325,0.11,35.80,51612
1222,,eddy,093203,coventrya,11-30-2006,11-28-2006,67811,19,0.11,2.07,51612
1223,,eddy,093203,coventrya,11-30-2006,11-29-2006,2381346,661,0.11,72.76,51612
1224,,eddy,093203,coventrya,11-30-2006,11-30-2006,8868991,2464,0.11,271.00,51612
1225,,eddy,093203,eddys,11-30-2006,11-08-2006,98662,27,0.11,3.02,51612
1226,,eddy,093203,eddys,11-30-2006,11-09-2006,185012,51,0.11,5.65,51612
1227,,eddy,093203,eddys,11-30-2006,11-17-2006,77797,22,0.11,2.38,51612
1228,,eddy,093203,eddys,11-30-2006,11-21-2006,154663,43,0.11,4.73,51612
1229,,eddy,093203,jungs,11-30-2006,11-01-2006,6764903,1879,0.11,206.71,51612
1230,,eddy,093203,jungs,11-30-2006,11-02-2006,5271347,1464,0.11,161.07,51612
1231,,eddy,093203,jungs,11-30-2006,11-03-2006,13167335,3658,0.11,402.33,51612
1232,,eddy,093203,jungs,11-30-2006,11-04-2006,5866422,1630,0.11,179.25,51612
1233,,eddy,093203,jungs,11-30-2006,11-05-2006,8184530,2273,0.11,250.08,51612
1234,,eddy,093203,jungs,11-30-2006,11-06-2006,8506003,2363,0.11,259.91,51612
1235,,eddy,093203,jungs,11-30-2006,11-08-2006,2253890,626,0.11,68.87,51612
1236,,eddy,093203,jungs,11-30-2006,11-09-2006,4706938,1307,0.11,143.82,51612
1237,,eddy,093203,jungs,11-30-2006,11-10-2006,4971835,1381,0.11,151.92,51612
1238,,eddy,093203,jungs,11-30-2006,11-11-2006,2588913,719,0.11,79.11,51612
1239,,eddy,093203,jungs,11-30-2006,11-12-2006,4381893,1217,0.11,133.89,51612
1240,,eddy,093203,jungs,11-30-2006,11-13-2006,13627815,3786,0.11,416.41,51612
1241,,eddy,093203,jungs,11-30-2006,11-14-2006,5649768,1569,0.11,172.63,51612
1242,,eddy,093203,jungs,11-30-2006,11-15-2006,2875058,799,0.11,87.85,51612
1243,,eddy,093203,jungs,11-30-2006,11-17-2006,3962024,1101,0.11,121.06,51612
1244,,eddy,093203,jungs,11-30-2006,11-18-2006,8093762,2248,0.11,247.31,51612
1245,,eddy,093203,jungs,11-30-2006,11-19-2006,8346317,2318,0.11,255.03,51612
1246,,eddy,093203,jungs,11-30-2006,11-20-2006,7945108,2207,0.11,242.77,51612
1247,,eddy,093203,jungs,11-30-2006,11-21-2006,3214436,893,0.11,98.22,51612
1248,,eddy,093203,jungs,11-30-2006,11-22-2006,25628,7,0.11,0.78,51612
1249,,eddy,093203,jungs,11-30-2006,11-23-2006,7228200,2008,0.11,220.86,51612
1250,,eddy,093203,jungs,11-30-2006,11-27-2006,8343314,2318,0.11,254.93,51612
1251,,eddy,093203,jungs,11-30-2006,11-29-2006,8235359,2288,0.11,251.64,51612
1252,,eddy,093203,jungs,11-30-2006,11-30-2006,4201667,1167,0.11,128.38,51612
1253,,eddy,093203,nawrockie,11-30-2006,11-03-2006,378054,105,0.11,11.55,51612
1254,,eddy,093203,nawrockie,11-30-2006,11-05-2006,405,0,0.11,0.01,51612
1255,,eddy,093203,nawrockie,11-30-2006,11-08-2006,8280183,2300,0.11,253.01,51612
1256,,eddy,093203,nawrockie,11-30-2006,11-09-2006,2958555,822,0.11,90.40,51612
1257,,eddy,093203,nawrockie,11-30-2006,11-10-2006,355138,99,0.11,10.85,51612
1258,,eddy,093203,nawrockie,11-30-2006,11-13-2006,8572101,2381,0.11,261.93,51612
1259,,eddy,093203,nawrockie,11-30-2006,11-15-2006,5048604,1402,0.11,154.26,51612
1260,,eddy,093203,nawrockie,11-30-2006,11-17-2006,6578,2,0.11,0.20,51612
1261,,eddy,093203,nawrockie,11-30-2006,11-19-2006,16894,5,0.11,0.52,51612
1262,,eddy,093203,nawrockie,11-30-2006,11-21-2006,9423401,2618,0.11,287.94,51612
1263,,eddy,093203,nawrockie,11-30-2006,11-22-2006,1562770,434,0.11,47.75,51612
1264,,eddy,093203,nawrockie,11-30-2006,11-26-2006,27,0,0.11,0.00,51612
1265,,eddy,093203,nawrockie,11-30-2006,11-28-2006,624016,173,0.11,19.07,51612
1266,,eddy,093203,nawrockie,11-30-2006,11-29-2006,683469,190,0.11,20.88,51612
1267,,eddy,093203,nawrockie,11-30-2006,11-30-2006,7107760,1974,0.11,217.18,51612
1268,,eddy,093203,rivase,11-30-2006,11-01-2006,477821,133,0.11,14.60,51612
1269,,eddy,093203,rivase,11-30-2006,11-03-2006,342476,95,0.11,10.46,51612
