ID,Project,Department name,Department code,Close date,Subject,Units,Rate,Cost,Account
161,,peng,093309,05-01-2008,Servers,1.0,50,50.00,51615
162,,svoboda,093204,05-01-2008,Primary storage (TB),2.0,624,1248.00,51610
163,,svoboda,093204,05-01-2008,Servers,1.0,50,50.00,51615
164,,elmicro,093093,05-01-2008,Primary storage (TB),1.0,624,624.00,51610
165,,eddy,093203,06-01-2008,Direct Attached storage (TB),0.6,1850,1110.00,51610
166,,eddy,093203,06-01-2008,Primary storage (TB),0.5,624,312.00,51610
167,,eddy,093203,06-01-2008,Secondary storage (TB),1.6,180,288.00,51610
168,,eddy,093203,06-01-2008,Servers,18.0,50,900.00,51615
169,,myers,093201,06-01-2008,Primary storage (TB),1.0,624,624.00,51610
170,,myers,093201,06-01-2008,Servers,1.0,50,50.00,51615
171,,betzig,093202,06-01-2008,Primary storage (TB),3.5,624,2184.00,51610
172,,betzig,093202,06-01-2008,Secondary storage (TB),1.0,180,180.00,51610
173,,karpova,093211,06-01-2008,Primary storage (TB),1.5,624,936.00,51610
174,,harris,093298,06-01-2008,Primary storage (TB),3.0,624,1872.00,51610
175,,harris,093298,06-01-2008,Secondary storage (TB),4.0,180,720.00,51610
176,,harris,093298,06-01-2008,Servers,1.0,50,50.00,51615
177,,sternson,093206,06-01-2008,Servers,1.0,50,50.00,51615
178,,looger,093209,06-01-2008,Servers,1.0,50,50.00,51615
179,,simpson,093210,06-01-2008,Secondary storage (TB),8.0,180,1440.00,51610
180,,simpson,093210,06-01-2008,Servers,1.0,50,50.00,51615
181,,truman,093212,06-01-2008,Primary storage (TB),3.0,624,1872.00,51610
182,,truman,093212,06-01-2008,Servers,1.0,50,50.00,51615
183,,rubin,093205,06-01-2008,Primary storage (TB),7.5,624,4680.00,51610
184,,rubin,093205,06-01-2008,Secondary storage (TB),1.0,180,180.00,51610
185,,rubin,093205,06-01-2008,Servers,3.0,50,150.00,51615
186,,peng,093309,06-01-2008,Primary storage (TB),2.0,624,1248.00,51610
187,,peng,093309,06-01-2008,Secondary storage (TB),2.0,180,360.00,51610
188,,peng,093309,06-01-2008,Servers,1.0,50,50.00,51615
189,,svoboda,093204,06-01-2008,Primary storage (TB),2.0,624,1248.00,51610
190,,svoboda,093204,06-01-2008,Secondary storage (TB),2.0,180,360.00,51610
191,,svoboda,093204,06-01-2008,Servers,1.0,50,50.00,51615
192,,elmicro,093093,06-01-2008,Primary storage (TB),1.0,624,624.00,51610
193,,betzig,093202,07-01-2008,Primary storage (TB),3.5,624,2184.00,51610
194,,betzig,093202,07-01-2008,Secondary storage (TB),1.0,180,180.00,51610
195,,eddy,093203,07-01-2008,Direct Attached storage (TB),0.6,1850,1110.00,51610
196,,eddy,093203,07-01-2008,Primary storage (TB),0.5,624,312.00,51610
197,,eddy,093203,07-01-2008,Secondary storage (TB),1.6,180,288.00,51610
198,,eddy,093203,07-01-2008,Servers,18.0,50,900.00,51615
199,,elmicro,093093,07-01-2008,Primary storage (TB),1.0,624,624.00,51610
200,,harris,093298,07-01-2008,Primary storage (TB),3.0,624,1872.00,51610
201,,harris,093298,07-01-2008,Secondary storage (TB),4.0,180,720.00,51610
202,,harris,093298,07-01-2008,Servers,1.0,50,50.00,51615
203,,jayaraman,093305,07-01-2008,Primary storage (TB),1.5,624,936.00,51610
204,,karpova,093211,07-01-2008,Primary storage (TB),2.0,624,1248.00,51610
205,,looger,093209,07-01-2008,Primary storage (TB),0.5,624,312.00,51610
206,,looger,093209,07-01-2008,Servers,1.0,50,50.00,51615
207,,myers,093201,07-01-2008,Primary storage (TB),1.0,624,624.00,51610
